Title,Year,Category,Session,Author,Keyword,Speed,Accuracy,Scability,Efficiency,Effectiveness,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis,,
Occlusion-Free Animation of Driving Routes for Car Navigation Systems,2006,SciVis,Perception,"Shigeo Takahashi, Kenichi Yoshida, Kenji Shimada, Tomoyuki Nishita","car navigation systems, nonperspective projection, occlusion-free animation, visual perception, temporal coherence",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Interactive Visualization of Intercluster Galaxy Structures in the Horologium-Reticulum Supercluster,2006,SciVis,"Visualization in Physical Sciences, Life Sciences and Engineering","Jameson Miller, Cory W. Quammen, Matthew C. Fleenor","Sparse point visualization, astronomy, cosmology.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
An Atmospheric Visual Analysis and Exploration System,2006,SciVis,"Visualization in Physical Sciences, Life Sciences and Engineering","Yuyan Song, Jing Ye, Nikolai Svakhine, Sonia Lasher-Trapp, Mike Baldwin, David Ebert","weather visualization, grid structures, transfer function, volume rendering, volume visualization, glyph rendering, warm rain entrainment process",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Visualization of Fibrous and Thread-like Data,2006,SciVis,"Visualization in Physical Sciences, Life Sciences and Engineering","Zeki Melek, David Mayerich, Cem Yuksel, John Keyser","neuron visualization, GPU acceleration, global illumination, orientation filtering",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Comparative Visualization for Wave-based and Geometric Acoustics,2006,SciVis,"Visualization in Physical Sciences, Life Sciences and Engineering","Eduard Deines, Martin Bertram, Jan Mohring, Jevgenij Jegorovs, Frank Michel, Hans Hagen, Gregory M. Nielson","acoustic simulation, comparative visualization, ray tracing, nite element method, phonon map",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hybrid Visualization for White Matter Tracts using Triangle Strips and Point Sprites,2006,SciVis,Vector/Tensor Visualization,"Dorit Merhof, Markus Sonntag, Frank Enders, Christopher Nimsky, Peter Hastreiter, Günther Greiner","Diffusion tensor data, fiber tracking, streamline visualization.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Analyzing Vortex Breakdown Flow Structures by Assignment of Colors to Tensor Invariants,2006,SciVis,Vector/Tensor Visualization,"Markus Rütten, Min S. Chong","Flow visualization, Tensor field Topology, Invariants",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Superellipsoid-based, Real Symmetric Traceless Tensor Glyphs Motivated by Nematic Liquid Crystal Alignment Visualization",2006,SciVis,Vector/Tensor Visualization,"T.J. Jankun-Kelly, Ketan Mehta","scientific visualization, tensor visualization, symmetric traceless tensor, nematic liquid crystals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
High-Quality Extraction of Isosurfaces from Regular and Irregular Grids,2006,SciVis,Isosurfaces and Polygonal Meshes,"John Schreiner, Carlos E. Scheidegger, Cláudio T. Silva","Isosurface Extraction, Curvature, Advancing Front",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesh Layouts for Block-Based Caches,2006,SciVis,Isosurfaces and Polygonal Meshes,"Sung-Eui Yoon, Peter Lindstrom","Mesh and graph layouts, cache-aware and cache-oblivious layouts, metrics for cache coherence, data locality.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out-of-Core Remeshing of Large Polygonal Meshes,2006,SciVis,Isosurfaces and Polygonal Meshes,"Minsu Ahn, Igor Guskov, Seungyong Lee","Out-of-core algorithm, semi-regular remeshing, shape compression",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interactive Point-Based Rendering of Higher-Order Tetrahedral Data,2006,SciVis,Large Data Set Visualization,"Yuan Zhou, Michael Garland","Interactive large higher-order tetrahedral volume visualization, point-based visualization.",1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
