Title,Year,Category,Session,Author,Keyword,Speed,Accuracy,Scability,Efficiency,Efficiency,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Efficient High-Quality Volume Rendering of SPH Data,2010,SciVis,,"Roland Fraedrich, Stefan Auer, Rüdiger Westermann","Particle visualization, volume rendering, ray-casting, GPU resampling",2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Fast, Memory-Efficient Cell Location in Unstructured Grids for Visualization",2010,SciVis,,"Christoph Garth, Kenneth I. Joy","Unstructured grids, cell location, interpolation, vector ﬁeld visualization",2,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Visualization by Proxy: A Novel Framework for Deferred Interaction with Volume Data,2010,SciVis,,"Anna Tikhonova, Carlos D. Correa, Kwan-Liu Ma","Volume visualization, deferred interaction, image-based rendering, volume distortion camera",0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Interactive Vector Field Feature Identification ,2010,SciVis,,"Joel Daniels II, Erik W. Anderson, Luis Gustavo Nonato, Cláudio T. Silva","Vector ﬁeld, data clustering, feature classiﬁcation, high-dimensional data, user interaction",1,1,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Interactive Separating Streak Surfaces ,2010,SciVis,,"Florian Ferstl, Kai Bürger, Holger Theisel, Rüdiger Westermann","Unsteady ﬂow visualization, feature extraction, streak surface generation, GPUs",2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
View-Dependent Streamlines for 3D Vector Fields ,2010,SciVis,,"Stéphane Marchesin, Cheng-Kai Chen, Chris Ho, Kwan-Liu Ma","Streamlines, Vector ﬁelds, View-dependent.",1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Visualizing Flow Trajectories Using Locality-based Rendering and Warped Curve Plots ,2010,SciVis,,"Chad Jones, Kwan-Liu Ma","Flow visualization, Multi-ﬁeld visualization, Focus+context visualization, Coordinated linked views",1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Superquadric Glyphs for Symmetric Second-Order Tensors ,2010,SciVis,,"Thomas Schultz, Gordon L. Kindlmann","Tensor Glyphs, Stress Tensors, Rate-of-Deformation Tensors, Geometry Tensors, Glyph Design",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TanGeoMS: Tangible Geospatial Modeling System ,2010,SciVis,,"Laura G. Tateosian, Helena Mitasova, Brendan A. Harmon, Brent Fogleman, Katherine Weaver, Russel S. Harmon","Visualization system, geographic/geospatial visualization, terrain visualization, tangible user interface, collaborative, visualization, human-computer interaction",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
FI3D: Direct-Touch Interaction for the Exploration of 3D Scientific Visualization Spaces ,2010,SciVis,,"Lingyun Yu, Pjotr Svetachov, Petra Isenberg, Maarten H. Everts, Tobias Isenberg","Direct-touch interaction, wall displays, 3D navigation and exploration, evaluation, illustrative visualization",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A Scalable Distributed Paradigm for Multi-User Interaction with Tiled Rear Projection Display Walls ,2010,SciVis,,"Pablo Roman, Maxim Lazarov, Aditi Majumder","Tiled Displays, Human-Computer Interaction, Gesture-Based Interaction, Multi-user interaction, Distributed algorithms.",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Projector Placement Planning for High Quality Visualizations on Real-World Colored Objects ,2010,SciVis,,"Alvin J. Law, Daniel G. Aliaga, Aditi Majumder","Large and High-resolution Displays, Interaction Design, Mobile and Ubiquitous Visualization",1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
