Title,Year,Category,Session,Author,Keyword,Speed,Accuracy,Scability,Efficiency,Effectiveness,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis,
Visual Verification and Analysis of Cluster Detection for Molecular Dynamics,2007,SciVis,,"S. Grottel, G. Reina, J. Vrabec and T. Ertl","Cluster detection analysis, molecular dynamics visualization, time-dependent scattered data, glyph visualization,
out-of-core techniques, evolution graph view",1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
A Grid with a View: Optimal Texturing for Perception of Layered Surface Shape,2007,SciVis,,"Alethea Bair and Donald House, Member, IEEE","Perception, optimal visualization, texturing, layered surfaces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conjoint Analysis to Measure the Perceived Quality in Volume Rendering,2007,SciVis,,"Joachim Giesen Klaus Mueller Senior Member, IEEE Eva Schuberth Lujin Wang Peter Zolliker Member, IEEE","Conjoint Analysis, Parameterized Algorithms, Volume Visualization",1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Uncertainty Visualization in Medical Volume Rendering Using Probabilistic Animation,2007,SciVis,,"Claes Lundstom, Student Member, IEEE, Patric Ljung, Member, IEEE, Anders Persson, and Anders Ynnerman, Member, IEEE","Uncertainty, probability, medical visualization, volume rendering, transfer function",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Visualizing Large-Scale Uncertainty in Astrophysical Data,2007,SciVis,,"Hongwei Li, Student Member, IEEE, Chi-Wing Fu, Member, IEEE, Yinggang Li, Member, IEEE, and Andrew J. Hanson, Member, IEEE","Uncertainty visualization, large spatial scale, interstellar data, astronomy",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
High-Quality Multimodal Volume Rendering for Preoperative Planning of Neurosurgical Interventions,2007,SciVis,,"Johanna Beyer, Markus Hadwiger, Stefan Wolfsberger, Katja Buhler","Multimodal Volume Rendering, Hardware Assisted Raycasting, Surgery Planning",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Interactive Sound Rendering in Complex and Dynamic Scenes using Frustum Tracing,2007,SciVis,,"Christian Lauterbach, Anish Chandak, and Dinesh Manocha, Member, IEEE","Acoustic propagation,Interactive systems",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Listener-based Analysis of Surface Importance for Acoustic Metrics,2007,SciVis,,"Frank Michel, Eduard Deines, Martin Hering-Bertram, Christoph Garth and Hans Hagen Member, IEEE","Sound analytics, Applications of Visualization, Room Acoustics, Phonon Tracing, Acoustic Metric",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Shadow-Driven 4D Haptic Visualization,2007,SciVis,,"Hui Zhang and Andrew J. Hanson, Member, IEEE","knot theory, haptics, visualization",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Interactive Isosurface Ray Tracing of Time-Varying Tetrahedral Volumes,2007,SciVis,,"Ingo Wald, Heiko Friedrich, Aaron Knoll, and Charles D. Hansen, Senior Member, IEEE","Ray Tracing, Isosurfaces, Unstructured meshes, Tetrahedra, Scalar Fields, Time-varying data",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Segmentation of Three-dimensional Retinal Image Data,2007,SciVis,,"Alfred R. Fuller, Robert J. Zawadzki, Stacey Choi, David F. Wiley, John S. Werner, and Bernd Hamann","support vector machine, segmentation, image analysis, retinal, optical coherence tomography, volume visualization,
image processing",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"Topology, Accuracy, and Quality of Isosurface Meshes Using Dynamic Particles",2007,SciVis,,"Miriah Meyer, Student Member, IEEE, Robert M. Kirby, Member, IEEE, and Ross Whitaker, Member, IEEE","Isosurface extraction, particle systems, Delaunay triangulation",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Visualization of Cosmological Particle-Based Datasets,2007,SciVis,,"Paul Arthur Navr atil Student Member, IEEE, Jarrett L. Johnson, and Volker Bromm","Interpolation, Isosurface, Astronomy, Cosmology",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Cores of Swirling Particle Motion in Unsteady Flows,2007,SciVis,,"Tino Weinkauf, Jan Sahner, Holger Theisel, and Hans-Christian Hege, Member, IEEE","unsteady flow visualization, feature extraction, particle motion",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Generalized Streak Lines: Analysis and Visualization of Boundary Induced Vortices,2007,SciVis,,"Alexander Wiebel, Xavier Tricoche, Member, IEEE CS, Dominic Schneider, Heike Janicke and Gerik Scheuermann, Member, IEEE CS","Skin friction, singularity tracking, vortex, generalized streak line, flow visualization, time-dependent vector fields",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Moment Invariants for the Analysis of 2D Flow Fields,2007,SciVis,,"Michael Schlemmer, Student Member, IEEE, Manuel Heringer, Florian Morr, Ingrid Hotz, Martin-Hering Bertram, Christoph Garth, Wolfgang Kollmann, Bernd Hamann, Member, IEEE, and Hans Hagen, Member, IEEE","Flow Visualization, Feature Detection, Pattern Extraction, Pattern Recognition, Image Processing",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Virtual Rheoscopic Fluids for Flow Visualization,2007,SciVis,,"William L. Barth, Member, IEEE and Christopher A. Burns","Flow visualization, rheoscopic fluids",0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
